CPU 1 is empty
cpus=2
           <...>-33790 [000] 20143.614195: funcgraph_entry:                   |  switch_mm_irqs_off() {
            bash-16796 [000] 20143.614613: funcgraph_exit:         4.018 us   |                      }
            bash-16796 [000] 20143.614616: funcgraph_exit:         7.446 us   |                    }
            bash-16796 [000] 20143.614616: funcgraph_exit:       + 43.114 us  |                  }
            bash-16796 [000] 20143.614617: funcgraph_entry:        0.566 us   |                  _raw_spin_unlock_irqrestore();
            bash-16796 [000] 20143.614618: funcgraph_exit:       + 54.690 us  |                }
            bash-16796 [000] 20143.614618: funcgraph_exit:       + 55.729 us  |              }
            bash-16796 [000] 20143.614620: funcgraph_exit:       + 56.812 us  |            }
            bash-16796 [000] 20143.614621: funcgraph_exit:       + 60.336 us  |          }
            bash-16796 [000] 20143.614622: funcgraph_entry:        0.561 us   |          _raw_spin_unlock_irqrestore();
            bash-16796 [000] 20143.614623: funcgraph_exit:       + 63.646 us  |        }
            bash-16796 [000] 20143.614623: funcgraph_exit:       + 64.610 us  |      }
            bash-16796 [000] 20143.614624: funcgraph_entry:                   |      irq_exit() {
            bash-16796 [000] 20143.614625: funcgraph_entry:        0.551 us   |        idle_cpu();
            bash-16796 [000] 20143.614626: funcgraph_entry:        0.546 us   |        rcu_irq_exit();
            bash-16796 [000] 20143.614627: funcgraph_exit:         2.655 us   |      }
            bash-16796 [000] 20143.614627: funcgraph_exit:       ! 172.194 us |    }
            bash-16796 [000] 20143.614710: funcgraph_entry:                   |    smp_apic_timer_interrupt() {
            bash-16796 [000] 20143.614711: funcgraph_entry:                   |      irq_enter() {
            bash-16796 [000] 20143.614712: funcgraph_entry:        0.570 us   |        rcu_irq_enter();
            bash-16796 [000] 20143.614713: funcgraph_exit:         1.785 us   |      }
            bash-16796 [000] 20143.614762: funcgraph_entry:                   |      hrtimer_interrupt() {
            bash-16796 [000] 20143.614763: funcgraph_entry:        0.561 us   |        _raw_spin_lock();
            bash-16796 [000] 20143.614764: funcgraph_entry:        1.131 us   |        ktime_get_update_offsets_now();
            bash-16796 [000] 20143.614766: funcgraph_entry:                   |        __hrtimer_run_queues() {
            bash-16796 [000] 20143.614767: funcgraph_entry:        1.448 us   |          __remove_hrtimer();
            bash-16796 [000] 20143.614769: funcgraph_entry:                   |          tick_sched_timer() {
            bash-16796 [000] 20143.614769: funcgraph_entry:        0.561 us   |            ktime_get();
            bash-16796 [000] 20143.614771: funcgraph_entry:                   |            tick_sched_do_timer() {
            bash-16796 [000] 20143.614771: funcgraph_entry:                   |              tick_do_update_jiffies64.part.11() {
            bash-16796 [000] 20143.614772: funcgraph_entry:        0.493 us   |                _raw_spin_lock();
            bash-16796 [000] 20143.614773: funcgraph_entry:                   |                do_timer() {
            bash-16796 [000] 20143.614773: funcgraph_entry:        0.671 us   |                  calc_global_load();
            bash-16796 [000] 20143.614774: funcgraph_exit:         1.732 us   |                }
            bash-16796 [000] 20143.614775: funcgraph_entry:                   |                update_wall_time() {
            bash-16796 [000] 20143.614776: funcgraph_entry:        0.506 us   |                  _raw_spin_lock_irqsave();
            bash-16796 [000] 20143.614777: funcgraph_entry:        0.489 us   |                  ntp_tick_length();
            bash-16796 [000] 20143.614778: funcgraph_entry:        0.494 us   |                  ntp_tick_length();
            bash-16796 [000] 20143.614779: funcgraph_entry:        0.493 us   |                  ntp_tick_length();
            bash-16796 [000] 20143.614780: funcgraph_entry:                   |                  timekeeping_update() {
            bash-16796 [000] 20143.614781: funcgraph_entry:        0.521 us   |                    ntp_get_next_leap();
            bash-16796 [000] 20143.614782: funcgraph_entry:        0.758 us   |                    update_vsyscall();
            bash-16796 [000] 20143.614783: funcgraph_entry:                   |                    raw_notifier_call_chain() {
            bash-16796 [000] 20143.614784: funcgraph_entry:        0.504 us   |                      notifier_call_chain();
            bash-16796 [000] 20143.614785: funcgraph_exit:         1.470 us   |                    }
            bash-16796 [000] 20143.614785: funcgraph_entry:        0.588 us   |                    update_fast_timekeeper();
            bash-16796 [000] 20143.614786: funcgraph_entry:        0.506 us   |                    update_fast_timekeeper();
            bash-16796 [000] 20143.614787: funcgraph_exit:         7.097 us   |                  }
            bash-16796 [000] 20143.614788: funcgraph_entry:        0.505 us   |                  _raw_spin_unlock_irqrestore();
            bash-16796 [000] 20143.614789: funcgraph_exit:       + 13.925 us  |                }
            bash-16796 [000] 20143.614789: funcgraph_exit:       + 18.174 us  |              }
            bash-16796 [000] 20143.614790: funcgraph_exit:       + 19.231 us  |            }
            bash-16796 [000] 20143.614790: funcgraph_entry:                   |            tick_sched_handle() {
            bash-16796 [000] 20143.614791: funcgraph_entry:                   |              update_process_times() {
            bash-16796 [000] 20143.614792: funcgraph_entry:                   |                account_process_tick() {
            bash-16796 [000] 20143.614792: funcgraph_entry:                   |                  account_system_time() {
            bash-16796 [000] 20143.614793: funcgraph_entry:                   |                    account_system_index_time() {
            bash-16796 [000] 20143.614794: funcgraph_entry:        0.915 us   |                      cpuacct_account_field();
            bash-16796 [000] 20143.614796: funcgraph_entry:                   |                      __cgroup_account_cputime_field() {
