CPU 1 is empty
cpus=2
            node-3432  [000] 23007.563452: funcgraph_entry:                   |  switch_mm_irqs_off() {
            bash-16796 [000] 23007.563831: funcgraph_entry:        0.557 us   |                                          wakeup_preempt_entity.isra.69();
            bash-16796 [000] 23007.563832: funcgraph_exit:         3.082 us   |                                        }
            bash-16796 [000] 23007.563833: funcgraph_exit:         4.521 us   |                                      }
            bash-16796 [000] 23007.563836: funcgraph_exit:         7.608 us   |                                    }
            bash-16796 [000] 23007.563836: funcgraph_exit:       + 47.580 us  |                                  }
            bash-16796 [000] 23007.563837: funcgraph_entry:        0.646 us   |                                  _raw_spin_unlock_irqrestore();
            bash-16796 [000] 23007.563838: funcgraph_exit:       + 61.316 us  |                                }
            bash-16796 [000] 23007.563839: funcgraph_exit:       + 62.475 us  |                              }
            bash-16796 [000] 23007.563840: funcgraph_exit:       + 63.712 us  |                            }
            bash-16796 [000] 23007.563841: funcgraph_exit:       + 67.446 us  |                          }
            bash-16796 [000] 23007.563842: funcgraph_entry:        0.627 us   |                          _raw_spin_unlock_irqrestore();
            bash-16796 [000] 23007.563843: funcgraph_exit:       + 71.074 us  |                        }
            bash-16796 [000] 23007.563844: funcgraph_exit:       + 72.177 us  |                      }
            bash-16796 [000] 23007.563845: funcgraph_entry:                   |                      irq_exit() {
            bash-16796 [000] 23007.563845: funcgraph_entry:        0.611 us   |                        idle_cpu();
            bash-16796 [000] 23007.563846: funcgraph_entry:        0.611 us   |                        rcu_irq_exit();
            bash-16796 [000] 23007.563848: funcgraph_exit:         2.896 us   |                      }
            bash-16796 [000] 23007.563848: funcgraph_exit:       ! 145.461 us |                    }
            bash-16796 [000] 23007.563850: funcgraph_exit:       ! 264.121 us |                  }
            bash-16796 [000] 23007.563850: funcgraph_exit:       $ 13679886 us |                }
            bash-16796 [000] 23007.563851: funcgraph_exit:       $ 13679887 us |              }
            bash-16796 [000] 23007.563852: funcgraph_exit:       $ 13679888 us |            }
            bash-16796 [000] 23007.563853: funcgraph_exit:       $ 13679889 us |          }
            bash-16796 [000] 23007.563854: funcgraph_entry:                   |          __fdget() {
            bash-16796 [000] 23007.563855: funcgraph_entry:        2.446 us   |            __fget_light();
            bash-16796 [000] 23007.563857: funcgraph_exit:         3.678 us   |          }
            bash-16796 [000] 23007.563859: funcgraph_entry:                   |          tty_poll() {
            bash-16796 [000] 23007.563860: funcgraph_entry:        0.752 us   |            tty_paranoia_check();
            bash-16796 [000] 23007.563861: funcgraph_entry:                   |            tty_ldisc_ref_wait() {
            bash-16796 [000] 23007.563861: funcgraph_entry:                   |              ldsem_down_read() {
            bash-16796 [000] 23007.563862: funcgraph_entry:                   |                _cond_resched() {
            bash-16796 [000] 23007.563863: funcgraph_entry:        0.536 us   |                  rcu_all_qs();
            bash-16796 [000] 23007.563864: funcgraph_exit:         1.789 us   |                }
            bash-16796 [000] 23007.563864: funcgraph_exit:         2.941 us   |              }
            bash-16796 [000] 23007.563865: funcgraph_exit:         4.050 us   |            }
            bash-16796 [000] 23007.563866: funcgraph_entry:                   |            n_tty_poll() {
            bash-16796 [000] 23007.563867: funcgraph_entry:        0.566 us   |              tty_hung_up_p();
            bash-16796 [000] 23007.563869: funcgraph_entry:                   |              tty_chars_in_buffer() {
            bash-16796 [000] 23007.563869: funcgraph_entry:        0.541 us   |                pty_chars_in_buffer();
            bash-16796 [000] 23007.563871: funcgraph_exit:         2.035 us   |              }
            bash-16796 [000] 23007.563871: funcgraph_entry:                   |              tty_write_room() {
            bash-16796 [000] 23007.563872: funcgraph_entry:                   |                pty_write_room() {
            bash-16796 [000] 23007.563873: funcgraph_entry:        0.928 us   |                  tty_buffer_space_avail();
            bash-16796 [000] 23007.563874: funcgraph_exit:         2.225 us   |                }
            bash-16796 [000] 23007.563875: funcgraph_exit:         3.548 us   |              }
            bash-16796 [000] 23007.563875: funcgraph_exit:         9.177 us   |            }
            bash-16796 [000] 23007.563876: funcgraph_entry:                   |            tty_ldisc_deref() {
            bash-16796 [000] 23007.563876: funcgraph_entry:        0.592 us   |              ldsem_up_read();
            bash-16796 [000] 23007.563878: funcgraph_exit:         1.734 us   |            }
            bash-16796 [000] 23007.563878: funcgraph_exit:       + 19.665 us  |          }
            bash-16796 [000] 23007.563879: funcgraph_entry:                   |          _cond_resched() {
            bash-16796 [000] 23007.563880: funcgraph_entry:        0.597 us   |            rcu_all_qs();
            bash-16796 [000] 23007.563881: funcgraph_exit:         1.659 us   |          }
            bash-16796 [000] 23007.563881: funcgraph_entry:                   |          poll_freewait() {
            bash-16796 [000] 23007.563882: funcgraph_entry:                   |            remove_wait_queue() {
            bash-16796 [000] 23007.563883: funcgraph_entry:        0.577 us   |              _raw_spin_lock_irqsave();
            bash-16796 [000] 23007.563884: funcgraph_entry:        0.591 us   |              _raw_spin_unlock_irqrestore();
            bash-16796 [000] 23007.563885: funcgraph_exit:         2.852 us   |            }
            bash-16796 [000] 23007.563885: funcgraph_entry:        0.541 us   |            fput();
            bash-16796 [000] 23007.563887: funcgraph_entry:                   |            remove_wait_queue() {
            bash-16796 [000] 23007.563887: funcgraph_entry:        0.541 us   |              _raw_spin_lock_irqsave();
            bash-16796 [000] 23007.563888: funcgraph_entry:        0.571 us   |              _raw_spin_unlock_irqrestore();
            bash-16796 [000] 23007.563889: funcgraph_exit:         2.786 us   |            }
            bash-16796 [000] 23007.563890: funcgraph_entry:        0.547 us   |            fput();
            bash-16796 [000] 23007.563891: funcgraph_exit:         9.782 us   |          }
            bash-16796 [000] 23007.563892: funcgraph_exit:       $ 13679942 us |        }
            bash-16796 [000] 23007.563893: funcgraph_entry:                   |        __check_object_size() {
            bash-16796 [000] 23007.563894: funcgraph_entry:        0.651 us   |          check_stack_object();
            bash-16796 [000] 23007.563895: funcgraph_exit:         1.859 us   |        }
            bash-16796 [000] 23007.563896: funcgraph_exit:       $ 13679948 us |      }
            bash-16796 [000] 23007.563897: funcgraph_entry:        0.576 us   |      poll_select_copy_remaining();
            bash-16796 [000] 23007.563898: funcgraph_entry:                   |      sigprocmask() {
            bash-16796 [000] 23007.563899: funcgraph_entry:        0.696 us   |        __set_current_blocked();
            bash-16796 [000] 23007.563900: funcgraph_exit:         1.910 us   |      }
            bash-16796 [000] 23007.563901: funcgraph_exit:       $ 13679954 us |    }
            bash-16796 [000] 23007.563903: funcgraph_exit:       $ 13679956 us |  }
            bash-16796 [000] 23007.563911: funcgraph_entry:                   |  do_syscall_64() {
            bash-16796 [000] 23007.563912: funcgraph_entry:                   |    sys_read() {
            bash-16796 [000] 23007.563912: funcgraph_entry:                   |      __fdget_pos() {
            bash-16796 [000] 23007.563913: funcgraph_entry:        0.686 us   |        __fget_light();
            bash-16796 [000] 23007.563914: funcgraph_exit:         1.810 us   |      }
