CPU 0 is empty
cpus=2
            main-27967 [001] 14428.023771: funcgraph_exit:       + 16.256 us  |                  }
            main-27967 [001] 14428.023771: funcgraph_entry:        0.204 us   |                  _raw_spin_unlock_irqrestore();
            main-27967 [001] 14428.023772: funcgraph_exit:       + 20.830 us  |                }
            main-27967 [001] 14428.023772: funcgraph_exit:       + 21.204 us  |              }
            main-27967 [001] 14428.023773: funcgraph_exit:       + 21.655 us  |            }
            main-27967 [001] 14428.023773: funcgraph_exit:       + 23.359 us  |          }
            main-27967 [001] 14428.023773: funcgraph_entry:        0.197 us   |          _raw_spin_unlock_irqrestore();
            main-27967 [001] 14428.023774: funcgraph_exit:       + 24.466 us  |        }
            main-27967 [001] 14428.023774: funcgraph_exit:       + 24.826 us  |      }
            main-27967 [001] 14428.023774: funcgraph_entry:                   |      irq_exit() {
            main-27967 [001] 14428.023774: funcgraph_entry:        0.191 us   |        idle_cpu();
            main-27967 [001] 14428.023775: funcgraph_entry:        0.191 us   |        rcu_irq_exit();
            main-27967 [001] 14428.023775: funcgraph_exit:         0.947 us   |      }
            main-27967 [001] 14428.023775: funcgraph_exit:       + 49.351 us  |    }
            main-27967 [001] 14428.023776: funcgraph_exit:       + 85.250 us  |  }
            main-27967 [001] 14428.023776: funcgraph_entry:                   |  _cond_resched() {
            main-27967 [001] 14428.023777: funcgraph_entry:        0.188 us   |    rcu_all_qs();
            main-27967 [001] 14428.023777: funcgraph_exit:         0.576 us   |  }
            main-27967 [001] 14428.023777: funcgraph_entry:                   |  hrtimer_try_to_cancel() {
            main-27967 [001] 14428.023777: funcgraph_entry:        0.260 us   |    hrtimer_active();
            main-27967 [001] 14428.023778: funcgraph_entry:                   |    lock_hrtimer_base.isra.19() {
            main-27967 [001] 14428.023778: funcgraph_entry:        0.183 us   |      _raw_spin_lock_irqsave();
            main-27967 [001] 14428.023778: funcgraph_exit:         0.546 us   |    }
            main-27967 [001] 14428.023779: funcgraph_entry:        1.744 us   |    __remove_hrtimer();
            main-27967 [001] 14428.023781: funcgraph_entry:        0.205 us   |    _raw_spin_unlock_irqrestore();
            main-27967 [001] 14428.023781: funcgraph_exit:         3.757 us   |  }
            main-27967 [001] 14428.023781: funcgraph_entry:        0.322 us   |  ktime_get();
            main-27967 [001] 14428.023782: funcgraph_entry:        0.196 us   |  ns_to_timespec64();
            main-27967 [001] 14428.023782: funcgraph_entry:                   |  nanosleep_copyout() {
            main-27967 [001] 14428.023782: funcgraph_entry:        0.869 us   |    put_timespec64();
            main-27967 [001] 14428.023783: funcgraph_exit:         1.281 us   |  }
            main-27967 [001] 14428.023784: funcgraph_entry:                   |  exit_to_usermode_loop() {
            main-27967 [001] 14428.023784: funcgraph_entry:                   |    do_signal() {
            main-27967 [001] 14428.023785: funcgraph_entry:                   |      get_signal() {
            main-27967 [001] 14428.023785: funcgraph_entry:        0.217 us   |        uprobe_deny_signal();
            main-27967 [001] 14428.023785: funcgraph_entry:                   |        _cond_resched() {
            main-27967 [001] 14428.023786: funcgraph_entry:        0.182 us   |          rcu_all_qs();
            main-27967 [001] 14428.023786: funcgraph_exit:         0.542 us   |        }
            main-27967 [001] 14428.023786: funcgraph_entry:        0.264 us   |        _raw_spin_lock_irq();
            main-27967 [001] 14428.023787: funcgraph_entry:                   |        dequeue_signal() {
            main-27967 [001] 14428.023787: funcgraph_entry:        0.212 us   |          __dequeue_signal();
            main-27967 [001] 14428.023787: funcgraph_entry:                   |          __dequeue_signal() {
            main-27967 [001] 14428.023788: funcgraph_entry:                   |            __sigqueue_free.part.19() {
            main-27967 [001] 14428.023788: funcgraph_entry:        0.516 us   |              kmem_cache_free();
            main-27967 [001] 14428.023789: funcgraph_exit:         0.982 us   |            }
            main-27967 [001] 14428.023789: funcgraph_exit:         1.516 us   |          }
            main-27967 [001] 14428.023789: funcgraph_entry:                   |          recalc_sigpending() {
            main-27967 [001] 14428.023789: funcgraph_entry:        0.184 us   |            recalc_sigpending_tsk();
            main-27967 [001] 14428.023790: funcgraph_exit:         0.571 us   |          }
            main-27967 [001] 14428.023790: funcgraph_exit:         3.164 us   |        }
            main-27967 [001] 14428.023791: signal_deliver:       sig=3 errno=0 code=0 sa_handler=55e37d36d7da sa_flags=4000000
