CPU 0 is empty
cpus=2
  kworker/u256:0-26003 [001] 15406.201814: funcgraph_entry:                   |  switch_mm_irqs_off() {
            bash-16796 [001] 15406.201940: funcgraph_exit:         0.445 us   |            }
            bash-16796 [001] 15406.201940: funcgraph_exit:         5.365 us   |          }
            bash-16796 [001] 15406.201940: funcgraph_entry:                   |          _cond_resched() {
            bash-16796 [001] 15406.201940: funcgraph_entry:        0.134 us   |            rcu_all_qs();
            bash-16796 [001] 15406.201941: funcgraph_exit:         0.399 us   |          }
            bash-16796 [001] 15406.201941: funcgraph_entry:                   |          poll_freewait() {
            bash-16796 [001] 15406.201941: funcgraph_entry:                   |            remove_wait_queue() {
            bash-16796 [001] 15406.201941: funcgraph_entry:        0.134 us   |              _raw_spin_lock_irqsave();
            bash-16796 [001] 15406.201941: funcgraph_entry:        0.166 us   |              _raw_spin_unlock_irqrestore();
            bash-16796 [001] 15406.201942: funcgraph_exit:         0.774 us   |            }
            bash-16796 [001] 15406.201942: funcgraph_entry:        0.139 us   |            fput();
            bash-16796 [001] 15406.201942: funcgraph_entry:                   |            remove_wait_queue() {
            bash-16796 [001] 15406.201942: funcgraph_entry:        0.133 us   |              _raw_spin_lock_irqsave();
            bash-16796 [001] 15406.201943: funcgraph_entry:        0.702 us   |              _raw_spin_unlock_irqrestore();
            bash-16796 [001] 15406.201943: funcgraph_exit:         1.242 us   |            }
            bash-16796 [001] 15406.201943: funcgraph_entry:        0.136 us   |            fput();
            bash-16796 [001] 15406.201944: funcgraph_exit:         3.013 us   |          }
            bash-16796 [001] 15406.201944: funcgraph_exit:       $ 87748692 us |        }
            bash-16796 [001] 15406.201944: funcgraph_entry:                   |        __check_object_size() {
            bash-16796 [001] 15406.201944: funcgraph_entry:        0.155 us   |          check_stack_object();
            bash-16796 [001] 15406.201945: funcgraph_exit:         0.490 us   |        }
            bash-16796 [001] 15406.201946: funcgraph_exit:       $ 87748695 us |      }
            bash-16796 [001] 15406.201946: funcgraph_entry:        0.145 us   |      poll_select_copy_remaining();
            bash-16796 [001] 15406.201946: funcgraph_entry:                   |      sigprocmask() {
            bash-16796 [001] 15406.201946: funcgraph_entry:        0.140 us   |        __set_current_blocked();
            bash-16796 [001] 15406.201947: funcgraph_exit:         0.429 us   |      }
            bash-16796 [001] 15406.201947: funcgraph_exit:       $ 87748697 us |    }
            bash-16796 [001] 15406.201947: funcgraph_exit:       $ 87748698 us |  }
            bash-16796 [001] 15406.201952: funcgraph_entry:                   |  do_syscall_64() {
            bash-16796 [001] 15406.201952: funcgraph_entry:                   |    sys_read() {
            bash-16796 [001] 15406.201952: funcgraph_entry:                   |      __fdget_pos() {
            bash-16796 [001] 15406.201952: funcgraph_entry:        0.165 us   |        __fget_light();
            bash-16796 [001] 15406.201953: funcgraph_exit:         0.451 us   |      }
            bash-16796 [001] 15406.201953: funcgraph_entry:                   |      vfs_read() {
            bash-16796 [001] 15406.201953: funcgraph_entry:                   |        rw_verify_area() {
            bash-16796 [001] 15406.201954: funcgraph_entry:                   |          security_file_permission() {
            bash-16796 [001] 15406.201954: funcgraph_entry:                   |            apparmor_file_permission() {
            bash-16796 [001] 15406.201954: funcgraph_entry:                   |              common_file_perm() {
            bash-16796 [001] 15406.201955: funcgraph_entry:        0.243 us   |                aa_file_perm();
            bash-16796 [001] 15406.201955: funcgraph_exit:         1.033 us   |              }
            bash-16796 [001] 15406.201955: funcgraph_exit:         1.314 us   |            }
            bash-16796 [001] 15406.201955: funcgraph_entry:        0.144 us   |            __fsnotify_parent();
            bash-16796 [001] 15406.201956: funcgraph_entry:        0.423 us   |            fsnotify();
            bash-16796 [001] 15406.201956: funcgraph_exit:         2.772 us   |          }
            bash-16796 [001] 15406.201956: funcgraph_exit:         3.277 us   |        }
            bash-16796 [001] 15406.201957: funcgraph_entry:                   |        __vfs_read() {
            bash-16796 [001] 15406.201957: funcgraph_entry:                   |          tty_read() {
            bash-16796 [001] 15406.201957: funcgraph_entry:        0.141 us   |            tty_paranoia_check();
            bash-16796 [001] 15406.201957: funcgraph_entry:                   |            tty_ldisc_ref_wait() {
            bash-16796 [001] 15406.201957: funcgraph_entry:                   |              ldsem_down_read() {
            bash-16796 [001] 15406.201958: funcgraph_entry:                   |                _cond_resched() {
            bash-16796 [001] 15406.201958: funcgraph_entry:        0.139 us   |                  rcu_all_qs();
            bash-16796 [001] 15406.201958: funcgraph_exit:         0.431 us   |                }
            bash-16796 [001] 15406.201958: funcgraph_exit:         0.716 us   |              }
            bash-16796 [001] 15406.201958: funcgraph_exit:         0.995 us   |            }
            bash-16796 [001] 15406.201959: funcgraph_entry:                   |            n_tty_read() {
            bash-16796 [001] 15406.201959: funcgraph_entry:                   |              __tty_check_change() {
            bash-16796 [001] 15406.201959: funcgraph_entry:                   |                __tty_check_change.part.0() {
            bash-16796 [001] 15406.201959: funcgraph_entry:        0.146 us   |                  _raw_spin_lock_irqsave();
            bash-16796 [001] 15406.201960: funcgraph_entry:        0.147 us   |                  _raw_spin_unlock_irqrestore();
            bash-16796 [001] 15406.201960: funcgraph_exit:         0.834 us   |                }
            bash-16796 [001] 15406.201960: funcgraph_exit:         1.303 us   |              }
